momentum,low_vol,parkinson_vol,high52,liquidity,train_sharpe,test_sharpe,min_sharpe
0.55,0.1,0.0,0.25,0.1,1.974856976461149,1.9654611410847564,1.9654611410847564
0.6,0.1,0.0,0.25,0.05,2.0343496540474453,1.9338985732832434,1.9338985732832434
0.55,0.1,0.0,0.3,0.05,1.9392215360430187,1.925012182069624,1.925012182069624
0.5,0.1,0.0,0.3,0.1,1.9098099626987382,1.9134487962822593,1.9098099626987382
0.6,0.05,0.0,0.3,0.05,2.00460013605076,1.9092040129483752,1.9092040129483752
0.6,0.1,0.0,0.3,0.0,1.9701491269155207,1.8896141184361395,1.8896141184361395
0.55,0.15,0.0,0.25,0.05,2.0352367663869555,1.8859177533262244,1.8859177533262244
0.55,0.1,0.05,0.25,0.05,2.1068956461297015,1.8764965972602505,1.8764965972602505
0.55,0.15,0.0,0.2,0.1,2.1446916928080832,1.8437799081015362,1.8437799081015362
0.55,0.0,0.05,0.3,0.1,2.0671111462930893,1.8418349286248699,1.8418349286248699
0.55,0.1,0.0,0.2,0.15,1.827443396179794,1.8202192029816027,1.8202192029816027
0.55,0.15,0.0,0.3,0.0,1.9812136077177283,1.8116561072181228,1.8116561072181228
0.5,0.05,0.0,0.35,0.1,1.9623285756642983,1.8111571302179552,1.8111571302179552
0.55,0.05,0.0,0.35,0.05,1.9340634400753662,1.8108467770052001,1.8108467770052001
0.5,0.15,0.0,0.25,0.1,1.7987691669755381,1.8148759217141557,1.7987691669755381
0.6,0.05,0.0,0.25,0.1,2.000817439582488,1.7980865490923827,1.7980865490923827
0.55,0.05,0.05,0.25,0.1,2.0061942539578737,1.795452648660583,1.795452648660583
0.55,0.05,0.0,0.3,0.1,1.979809041434031,1.7852177470378376,1.7852177470378376
0.55,0.05,0.0,0.25,0.15,1.7814358729683384,1.7846473049816811,1.7814358729683384
0.5,0.1,0.0,0.25,0.15,1.8054811916327436,1.7812547412274433,1.7812547412274433
0.55,0.05,0.05,0.3,0.05,1.9719814992325762,1.7741362010479675,1.7741362010479675
0.55,0.1,0.05,0.2,0.1,2.0804509180449924,1.7682345281191072,1.7682345281191072
0.6,0.1,0.0,0.2,0.1,2.044887760881808,1.7650258894463986,1.7650258894463986
0.6,0.0,0.0,0.3,0.1,1.98622440448605,1.7615747234035346,1.7615747234035346
0.5,0.0,0.0,0.4,0.1,1.920956414771169,1.7585690757668064,1.7585690757668064
0.5,0.15,0.0,0.3,0.05,2.0043484132149647,1.7399786511643116,1.7399786511643116
0.5,0.1,0.05,0.25,0.1,1.8190707649310185,1.7333498764260211,1.7333498764260211
0.5,0.1,0.0,0.2,0.2,1.8207755697049786,1.7245558048631675,1.7245558048631675
0.5,0.15,0.05,0.2,0.1,1.7311323791282507,1.7076408510353605,1.7076408510353605
0.5,0.05,0.0,0.4,0.05,1.9427683116938115,1.7051733838439218,1.7051733838439218
0.5,0.2,0.0,0.2,0.1,1.7892544054384278,1.7028425790013322,1.7028425790013322
0.55,0.0,0.0,0.35,0.1,1.9681819107921705,1.7013664218117175,1.7013664218117175
0.55,0.1,0.0,0.35,0.0,1.9265917539957889,1.6963161632719186,1.6963161632719186
0.5,0.05,0.0,0.3,0.15,1.7569647107047532,1.6902342558163348,1.6902342558163348
0.5,0.0,0.0,0.35,0.15,1.696029506357693,1.6864638181206901,1.6864638181206901
0.45,0.1,0.0,0.25,0.2,1.808056020501807,1.6811707786923686,1.6811707786923686
0.5,0.0,0.05,0.35,0.1,1.971077020803873,1.6763240731695508,1.6763240731695508
0.5,0.1,0.0,0.35,0.05,1.9983403347217052,1.6659770683178587,1.6659770683178587
0.5,0.05,0.05,0.3,0.1,1.736497346061546,1.6570375648758267,1.6570375648758267
0.55,0.0,0.0,0.3,0.15,1.7826958567889715,1.65238372535958,1.65238372535958
0.5,0.15,0.0,0.2,0.15,1.8949987715889023,1.632192466500767,1.632192466500767
0.5,0.05,0.0,0.25,0.2,1.9743428596693549,1.6310672971749642,1.6310672971749642
0.5,0.05,0.05,0.25,0.15,1.855989345224659,1.6299460961785839,1.6299460961785839
0.55,0.1,0.05,0.3,0.0,1.978507497630024,1.622110863492891,1.622110863492891
0.5,0.1,0.0,0.4,0.0,1.9929584711707695,1.6118274664362988,1.6118274664362988
0.45,0.1,0.0,0.4,0.05,2.0088843414956,1.609307420118617,1.609307420118617
0.5,0.1,0.1,0.2,0.1,1.7722768651213836,1.6092154710336384,1.6092154710336384
0.5,0.1,0.05,0.2,0.15,1.863635113849796,1.6032319313557801,1.6032319313557801
0.45,0.05,0.0,0.4,0.1,1.7085249936382814,1.5939765144551872,1.5939765144551872
0.5,0.05,0.05,0.35,0.05,2.0561907302830464,1.5713666130900046,1.5713666130900046
0.45,0.1,0.0,0.35,0.1,1.786012897188732,1.5676329040352295,1.5676329040352295
0.5,0.05,0.1,0.25,0.1,1.9432448196568641,1.5589223234115033,1.5589223234115033
0.5,0.2,0.0,0.3,0.0,1.938690256657084,1.5525415196203292,1.5525415196203292
0.5,0.1,0.05,0.3,0.05,2.0190618856345983,1.541147483182938,1.541147483182938
0.45,0.15,0.0,0.3,0.1,1.711493400120021,1.5319903433015405,1.5319903433015405
0.5,0.0,0.0,0.3,0.2,1.7665021885277,1.5185941201490964,1.5185941201490964
0.5,0.2,0.0,0.25,0.05,1.905133517429142,1.5076320393655598,1.5076320393655598
0.5,0.15,0.0,0.35,0.0,1.9726448970357764,1.5057428197149536,1.5057428197149536
0.45,0.2,0.0,0.25,0.1,1.5240414633726755,1.497349445255157,1.497349445255157
0.5,0.0,0.05,0.3,0.15,1.8416337859281862,1.4970613156771972,1.4970613156771972
0.45,0.1,0.0,0.3,0.15,1.7254420699839272,1.4878341760713143,1.4878341760713143
0.45,0.05,0.0,0.35,0.15,1.834827966769495,1.4629189834775824,1.4629189834775824
0.4,0.1,0.0,0.4,0.1,1.7820879663373426,1.4518146644449037,1.4518146644449037
0.5,0.1,0.1,0.25,0.05,1.8534543125037235,1.4456237320811736,1.4456237320811736
0.5,0.1,0.05,0.35,0.0,2.0851597509461026,1.4455865338463947,1.4455865338463947
0.45,0.05,0.0,0.3,0.2,1.7911905024842327,1.4400619236187808,1.4400619236187808
0.45,0.15,0.0,0.25,0.15,1.7941398487563396,1.4213423096006448,1.4213423096006448
0.5,0.0,0.1,0.3,0.1,1.9130491127432914,1.4172634524898664,1.4172634524898664
0.5,0.1,0.1,0.3,0.0,1.9027578178134146,1.402840571941755,1.402840571941755
0.5,0.15,0.05,0.3,0.0,1.872535859902863,1.398903599611106,1.398903599611106
0.5,0.05,0.1,0.3,0.05,2.022369487014719,1.3851777968902075,1.3851777968902075
0.45,0.05,0.05,0.3,0.15,1.8401185011813455,1.3809028018832614,1.3809028018832614
0.5,0.15,0.05,0.25,0.05,1.8723019263376528,1.3789022979565888,1.3789022979565888
0.4,0.1,0.0,0.3,0.2,1.864597137514973,1.3756573304169308,1.3756573304169308
0.45,0.15,0.05,0.3,0.05,1.7881851011277254,1.3623713411037843,1.3623713411037843
0.45,0.15,0.0,0.35,0.05,2.03338735338082,1.360462086635536,1.360462086635536
0.45,0.1,0.1,0.25,0.1,1.6203517844830881,1.3603219693391726,1.3603219693391726
0.45,0.2,0.0,0.3,0.05,1.8207928607580546,1.3576587165986949,1.3576587165986949
0.4,0.15,0.0,0.35,0.1,1.724315071639882,1.3516360737903979,1.3516360737903979
0.45,0.15,0.05,0.25,0.1,1.6744530087967568,1.3488453085309549,1.3488453085309549
0.45,0.05,0.05,0.35,0.1,1.8598026894780602,1.337745368660136,1.337745368660136
0.45,0.1,0.05,0.35,0.05,2.12189938644565,1.331326064385886,1.331326064385886
0.45,0.1,0.05,0.25,0.15,1.7809920168251734,1.322192312420179,1.322192312420179
0.45,0.1,0.1,0.3,0.05,1.8613143991244423,1.2930786011056925,1.2930786011056925
0.45,0.1,0.05,0.3,0.1,1.8768214024888559,1.2796241403358424,1.2796241403358424
0.4,0.1,0.0,0.35,0.15,1.8174386494772612,1.2730382732748604,1.2730382732748604
0.4,0.2,0.0,0.3,0.1,1.447991171430676,1.2477878756782474,1.2477878756782474
0.4,0.1,0.05,0.35,0.1,1.670433886419914,1.245883212349655,1.245883212349655
0.4,0.15,0.0,0.3,0.15,1.6805615943077084,1.185842948382322,1.185842948382322
0.45,0.05,0.1,0.3,0.1,1.8859692498563554,1.1808585637808346,1.1808585637808346
0.4,0.15,0.05,0.3,0.1,1.440942028363326,1.162018036328268,1.162018036328268
0.4,0.1,0.1,0.3,0.1,1.547696783458419,1.1457556608797381,1.1457556608797381
0.4,0.1,0.05,0.3,0.15,1.6698084039416745,0.9954258199308791,0.9954258199308791
